"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAC677_009";"4";"";
"REFERENCE";"1990986";"";
"ATT_0173_1_02_BAF016_008";"16.4";"";
"TraceParts.PartVersion";"1.1.18";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_AAZ343_003";"0.25";"";
"ATT_0173_1_02_BAA020_012";"16";"";
"ATT_0173_1_02_BAC739_009";"0.2";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"TraceParts.PartNumber";"10-24122020-043580";"";
"ATT_0173_1_02_AAO663_005";"4046356104609";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-24122020-0435805548JGPKMEWLNDGXJUP9XUIUT";"";
"ATT_0173_1_02_BAB577_010";"14.4";"";
"ATT_0173_1_02_BAC740_009";"0.2";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"SPT 2,5/ 3-H-5,0";"";
"ATT_0173_1_02_AAP798_003";"IEC 60947-7-4";"";
"ATT_0173_1_02_BAC487_017";"PA";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC676_009";"2.5";"";
