"Symbol";"Value";"Unit";
"mount_position";"Top mount";"";
"REFERENCE";"USB4115-03-C";"";
"profile";"9.25";"";
"pins";"24";"";
"SUPPLIER";"GCT";"";
"entry";"Top";"";
"TraceParts.PartNumber";"90-01072022-032128";"";
"TRACEPARTS";"TRACEPARTS";"";
"current_rating";"5";"";
"has_mating_face_lead_in";"N/A";"";
"interface";"C";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"USB Connectors, Type C, Top mount, 0 offset, Through hole, Vertical";"";
"TraceParts.InstanceId";"90-01072022-032128ATOX0G2URDQDH4L4MMM9LLZPQ";"";
"TraceParts.PartTitle";"USB4115";"";
"version";"3.2 Gen 2";"";
"gender";"Receptacle";"";
"mount_type";"Surface mount";"";
"orientation";"Vertical";"";
"shell_stake_length";"1.15";"";
"TraceParts.PartVersion";"1.0.5";"";
"body_length_mm";"9.25";"";
"style";"Type C";"";
"shell_stakes";"Through hole";"";
"mating_cycles";"20000";"";
"locating_peg";"With locating peg";"";
