"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MPN"
"C1","1","100uF","","","","CL32A107MQVNNNE"
"C2,C7,C8,C14,C16,C17,C20","7","100nF","","","","CL05B104KO5NNNC"
"C3,C15,C19","3","1uF","","","","CL05A105KP5NNNC"
"C4,C5,C6","3","10uF","","","","C0805C106K3PACTU"
"C9","1","4.7uF","","","","GRM21BR71C475KE51K"
"C10,C11","2","2.2uF","","","","GCM31CR71H225KA55L"
"C12","1","10nF","","","","C0402C103K5RECAUTO"
"C13","1","82pF","","","","GRM1555C1H820JA01D"
"C18","1","4.7nF X1/Y2","DNP","","","R413F147050T1K"
"CS1,CS2","2","4.7nF X1/Y2","","","","R413F147050T1K"
"D2,D3","2","Z0103MN","","","","Z0103MN 5AA4"
"D4,D5","2","MBR130LSFT1G","","","","MBR130LSFT1G"
"D6","1","RB160MM-60TR","","","","RB160MM-60TR"
"D7","1","BZT52B27","","","","BZT52B27"
"D8,D9,D10,D11,D12","5","PEC3205CS","","","","PEC3205CS_R1_00701"
"D18,D19","2","SMF51CA","","","","SMF51CA"
"D20,D21","2","SMF33A","","","","SMF33A"
"DS1","1","KWM-20881AGB","","","","KWM-20881AGB"
"F2","1","46205000000","","","","46205000000"
"J2,J3,J14","3","1990986","","","","1990986"
"J8,J9,J10,J11,J12","5","1770966","","","","1770966"
"J13","1","USB4145-03-0170-C","","","","USB4145-03-0170-C"
"J15","1","1990999","","","","1990999"
"L1","1","10uH","","","","LSXND4040TKL100MDG"
"Q3,Q4","2","MOC3063S-TA1","","","","MOC3063S-TA1"
"Q5","1","CSD17313Q2","","","","CSD17313Q2"
"Q6,Q7","2","CPC1035N","","","","CPC1035NTR"
"R1","1","B72210S0271K101","","","","B72210S0271K101"
"R2,R3,R7,R8,R9,R13,R16,R20,R21,R22,R24,R26,R27,R28,R29,R39","16","10k","","","","AC0402FR-0710KL"
"R5,R6","2","5.1k","","","","RC0402FR-075K1L"
"R10","1","249k","","","","RC0402FR-07249KL"
"R11","1","13.3k","","","","RC0402FR-0713K3L"
"R12,R34,R35,R36,R37,R38","6","100","","","","RC0402FR-07100RL"
"R14","1","2.2k","","","","ERJ-P08J222V"
"R15,R17,R40,RS1,RS2","5","100","","","","ERJ-P08J101V"
"R18,R19,R23,R25","4","4.7k","","","","RC0402FR-074K7L"
"R30,R31","2","1k","","","","user stock (1k 0402)"
"R32,R33","2","100k","","","","RC0402FR-07100KL"
"RG3,RG4","2","360","","","","RC0603FR-07360RL"
"RL1,RL2","2","180","","","","RC0402FR-07180RL"
"RL3,RL4","2","470","","","","RC0402FR-07470RL"
"RS4,RS5,RS6,RS7,RS8","5","4700","","","","RC0402FR-074K7L"
"SW1","1","TL9320AF400QG","","","","TL9320AF400QG"
"SW3","1","A6S-1102-H","","","","A6S-1102-H"
"U1","1","IRM-03-5","","","","IRM-03-5"
"U2","1","TLV75733P","","","","TLV75733PDRVR"
"U5","1","ESP32-C6-WROOM-1-N4","","","","ESP32-C6-WROOM-1-N4"
"U6","1","TPS61040","","","","TPS61040DRVR"
"U7","1","IS31FL3730","","","","IS31FL3730-QFLS2-TR"
"U8,U9","2","HCPL-354-06AE","","","","HCPL-354-06AE"
"U10","1","USBLC6-2SC6","","","","USBLC6-2SC6"
