"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MPN"
"C1","1","100uF","","","","CL32A107MQVNNNE"
"C2,C7,C8","3","100nF","","","","GRM155R71C104KA88D"
"C3","1","1uF","","","","CL05A105KP5NNNC"
"C4,C5,C6","3","10uF","","","","CL21A106KOFNNNE"
"CS1,CS2","2","22nF X2","","","","R463I22204001M"
"D1","1","LED (active-low)","","","","user stock (0402 LED)"
"D2,D3","2","Z0103MN","","","","Z0103MN 5AA4"
"D4,D5","2","B5819W","","","","B5819W-TP"
"F2","1","46205000000","","","","46205000000"
"J2,J3","2","1990986","","","","1990986"
"J8,J9,J10,J11,J12","5","1770966","","","","1770966"
"J13","1","USB4115-03-C","","","","USB4115-03-C"
"Q3,Q4","2","MOC3063S-TA1","","","","MOC3063S-TA1"
"R1","1","B72210S0271K101","","","","B72210S0271K101"
"R2,R3,R7,R8,R9","5","10k","","","","AC0402FR-0710KL"
"R4","1","1k","","","","user stock (1k 0402)"
"R5,R6","2","5.1k","","","","RC0402FR-075K1L"
"RG3,RG4","2","360","","","","RC0603FR-07360RL"
"RL1,RL2","2","180","","","","RC0402FR-07180RL"
"RS1,RS2","2","100","","","","ERJ-P08J101V"
"RS4,RS5,RS6,RS7,RS8","5","4700","","","","RC0402FR-074K7L"
"SW1","1","TL9320AF400QG","","","","TL9320AF400QG"
"U1","1","IRM-03-5","","","","IRM-03-5"
"U2","1","TLV75733P","","","","TLV75733PDRVR"
"U5","1","ESP32-C6-WROOM-1-N4","","","","ESP32-C6-WROOM-1-N4"
